tipodepropiedad,con,sin,porcentaje_no,promedio_del_valor,moda
Apartamento,48290.0,9051,15.784517186655272,8.362021122385586,0.0
Bodega comercial,1129.0,277,19.70128022759602,9.635961027457927,10.0
Casa,119026.0,22691,16.01148768319962,8.272587501890344,0.0
Casa en condominio,16286.0,3011,15.603461677981034,6.328625813582218,0.0
Casa uso de suelo,616.0,92,12.994350282485875,17.998376623376622,20.0
Departamento Compartido,134.0,7,4.964539007092199,6.149253731343284,0.0
Duplex,337.0,6,1.749271137026239,9.851632047477745,10.0
Edificio,1201.0,195,13.968481375358165,15.890924229808492,20.0
Garage,,1,100.0,,0.0
Hospedaje,,1,100.0,,0.0
Huerta,18.0,2,10.0,8.777777777777779,5.0
Inmuebles productivos urbanos,198.0,2,1.0,15.671717171717171,10.0
Local Comercial,2240.0,815,26.677577741407532,9.119196428571428,0.0
Local en centro comercial,137.0,28,16.96969696969697,7.569343065693431,5.0
Lote,1.0,4,80.0,0.0,0.0
Nave industrial,71.0,5,6.578947368421053,10.887323943661972,10.0
Oficina comercial,1410.0,331,19.012062033314187,12.840425531914894,0.0
Otros,126.0,8,5.970149253731344,3.888888888888889,0.0
Quinta Vacacional,340.0,55,13.924050632911394,7.544117647058823,5.0
Rancho,154.0,16,9.411764705882353,10.467532467532468,10.0
Terreno,3721.0,6224,62.58421317244847,1.0314431604407417,0.0
Terreno comercial,716.0,610,46.003016591251885,5.0307262569832405,0.0
Terreno industrial,14.0,17,54.83870967741935,7.285714285714286,0.0
Villa,270.0,70,20.58823529411765,6.62962962962963,5.0
