tipodepropiedad,con,sin,porcentaje_no,promedio_del_valor,moda
Apartamento,56004.0,1337,2.331664951779704,1.8168166559531462,2.0
Bodega comercial,746.0,660,46.94167852062589,1.8471849865951742,1.0
Casa,133108.0,8609,6.074782841860892,2.2404288247137663,2.0
Casa en condominio,18494.0,803,4.16126859097269,2.36606466962258,2.0
Casa uso de suelo,551.0,157,22.175141242937855,2.4047186932849365,2.0
Departamento Compartido,134.0,7,4.964539007092199,1.791044776119403,1.0
Duplex,338.0,5,1.457725947521866,1.3609467455621302,1.0
Edificio,367.0,1029,73.7106017191977,2.6267029972752045,4.0
Garage,,1,100.0,,0.0
Hospedaje,,1,100.0,,0.0
Huerta,8.0,12,60.0,1.625,1.0
Inmuebles productivos urbanos,72.0,128,64.0,2.388888888888889,2.0
Local Comercial,1318.0,1737,56.857610474631755,1.8088012139605463,1.0
Local en centro comercial,43.0,122,73.93939393939394,1.697674418604651,1.0
Lote,,5,100.0,,0.0
Nave industrial,44.0,32,42.10526315789474,2.2045454545454546,2.0
Oficina comercial,981.0,760,43.65307294658243,1.9755351681957187,1.0
Otros,71.0,63,47.01492537313433,2.0,2.0
Quinta Vacacional,341.0,54,13.670886075949369,2.2991202346041058,2.0
Rancho,137.0,33,19.411764705882355,1.8613138686131387,1.0
Terreno,523.0,9422,94.74107591754651,1.6921606118546846,1.0
Terreno comercial,174.0,1152,86.87782805429863,1.8103448275862069,1.0
Terreno industrial,9.0,22,70.96774193548387,1.6666666666666667,0.0
Villa,300.0,40,11.764705882352942,2.216666666666667,2.0
