tipodepropiedad,con,sin,porcentaje_no,promedio_del_valor,moda
Apartamento,53605,3736,6.515407823372456,1.4102415819419831,1.0
Bodega comercial,881,525,37.33997155049787,0.48467650397275824,0.0
Casa,117756,23961,16.907639873833062,1.7059258126974421,2.0
Casa en condominio,16060,3237,16.7746281805462,1.908156911581569,2.0
Casa uso de suelo,468,240,33.898305084745765,1.4273504273504274,2.0
Departamento Compartido,137,4,2.8368794326241136,1.4014598540145986,0.0
Duplex,336,7,2.0408163265306123,1.181547619047619,1.0
Edificio,873,523,37.46418338108882,0.7250859106529209,0.0
Huerta,15,5,25.0,0.0,0.0
Inmuebles productivos urbanos,150,50,25.0,0.48,0.0
Local Comercial,1834,1221,39.96726677577742,0.5452562704471101,0.0
Local en centro comercial,120,45,27.272727272727273,0.38333333333333336,0.0
Lote,1,4,80.0,0.0,0.0
Nave industrial,56,20,26.315789473684212,0.8571428571428571,0.0
Oficina comercial,1202,539,30.959218839747273,0.9916805324459235,0.0
Otros,52,82,61.194029850746276,1.6730769230769231,2.0
Quinta Vacacional,156,239,60.50632911392405,0.9807692307692307,0.0
Rancho,75,95,55.88235294117647,0.5733333333333334,0.0
Terreno,7542,2403,24.162895927601813,0.045611243701935825,0.0
Terreno comercial,713,613,46.22926093514329,0.1093969144460028,0.0
Terreno industrial,5,26,83.87096774193547,1.0,0.0
Villa,181,159,46.76470588235294,1.6519337016574585,2.0
